Dates,"[Timestamp('2019-11-04 00:00:00'), Timestamp('2019-11-11 00:00:00'), Timestamp('2019-11-18 00:00:00'), Timestamp('2019-11-25 00:00:00'), Timestamp('2019-12-02 00:00:00'), Timestamp('2019-12-09 00:00:00'), Timestamp('2019-12-16 00:00:00'), Timestamp('2019-12-23 00:00:00'), Timestamp('2019-12-30 00:00:00'), Timestamp('2020-01-06 00:00:00'), Timestamp('2020-01-13 00:00:00'), Timestamp('2020-01-20 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-17 00:00:00'), Timestamp('2020-02-24 00:00:00'), Timestamp('2020-03-02 00:00:00'), Timestamp('2020-03-09 00:00:00'), Timestamp('2020-03-16 00:00:00'), Timestamp('2020-03-23 00:00:00'), Timestamp('2020-03-30 00:00:00'), Timestamp('2020-04-06 00:00:00'), Timestamp('2020-04-13 00:00:00'), Timestamp('2020-04-20 00:00:00'), Timestamp('2020-04-27 00:00:00')]"
 Albuquerque,"[46.62779457014624, 54.47755784597628, 48.16696734395761, 49.4054037709104, 42.565282460539976, 52.50424564141474, 63.84898918886049, 54.71545774597158, 55.29122733503095, 34.44132415216253, 50.376636615917214, 0.0, 29.167851523832827, 33.631969749393846, 24.73335409575078, 44.80082122470722, 34.152919688419075, 35.22908342481429, 24.311814997482248, 29.7895099151222, 10.663762161421053, 12.227384757380689, 17.617694244618676, 20.234258472823985, 3.3043853528116767]"
Anaheim,"[61.28261852272102, 53.17597542015593, 45.81995377339634, 56.85101915723232, 50.54215475861115, 55.41457074662572, 60.42071381792988, 55.278311501870974, 58.366496261573204, 54.401461627508596, 72.50690356722497, 0.5250805816589867, 45.05465551205504, 39.476417489631075, 31.934271461429358, 54.118148672546965, 45.547348444338596, 50.02740274985834, 30.83178332460925, 20.78054305019568, 32.77105223316056, 22.24348350044866, 19.655259166474487, 27.02196807680423, 2.9187055974314524]"
Anchorage,"[101.08913623011308, 106.19680053723971, 130.99609720548816, 112.45821250147699, 134.89509331590764, 116.70059953183369, 117.96474168542666, 112.99082269560814, 135.95226385584516, 105.85650942223477, 93.76399773713553, 0.0, 68.33468902879181, 67.01297517024578, 75.91105411650041, 100.4760101802664, 82.3082426669408, 69.35815301146009, 60.88429538826297, 19.129606948899653, 23.369668027303053, 29.790704439395675, 38.43184517246856, 27.02579611438327, 0.2299292801249301]"
Arlington,"[54.108460294619974, 54.9213748646897, 58.05961095714349, 72.27345522227849, 51.932512427486046, 59.77364335577942, 63.07057150046039, 65.79007785272388, 67.7307925584813, 54.10813664110825, 54.62674278062478, 0.4623367615189519, 39.10255645918769, 44.20320888164592, 41.11227221359656, 51.87596046252351, 49.969949186761646, 52.91054140347227, 28.9220555058879, 19.143187685108078, 16.620151467444288, 13.930005884404617, 15.210586005835225, 15.313659047022526, 18.73211893038401]"
Atlanta,"[80.95153823882139, 80.54332123990947, 78.30389527657998, 95.662827373939, 80.52699873610547, 86.86497661798776, 98.74610365166481, 90.0257939157285, 88.14722620050304, 71.47056270239005, 75.95260624894523, 18.11021515902097, 67.72513991314828, 65.15123543245426, 54.407526414352894, 87.31203277313311, 76.79481334714453, 78.63064654065263, 57.084617531105735, 42.59358702075893, 29.949030040005656, 25.345392228416724, 36.403721964639566, 33.54694251970536, 8.77977472251817]"
Aurora,"[53.418948704780334, 27.662236710268317, 37.449854057572345, 49.19495793578432, 36.52180052287926, 29.012822710704818, 24.829798812062005, 44.3425638031425, 51.45125528353599, 24.309575260003303, 58.85597007244035, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Austin,"[76.86566820253135, 70.84735251343041, 68.27903254257222, 93.50746364776012, 65.62811323617865, 72.45522479221222, 83.18466950287355, 101.47054860706257, 75.87848006746081, 75.06025328922532, 73.2936431272152, 2.8933555250057577, 50.06162995060236, 49.722300005062536, 38.98899314559717, 67.53757409526352, 58.42298661302805, 47.074428808609866, 36.2754582003325, 24.155291445683304, 21.448361176490863, 20.31021560591817, 24.388933779682336, 25.37843141820938, 7.896512912651828]"
Bakersfield,"[43.14485162152622, 41.70890296630744, 39.0500839077726, 45.544602976428, 40.52362417658967, 33.8456501944587, 31.251594521353606, 37.126115492903345, 47.03467568573274, 31.607680430261112, 34.92792979721828, 0.0, 29.975590719676518, 25.88336646826673, 21.496808353810234, 34.33708925280536, 34.41188800145225, 23.075998815450788, 21.102455972834576, 23.26002104280712, 17.765837057980907, 11.149984461018862, 17.295543325567902, 27.290117521136107, 7.682254192128048]"
Baltimore,"[51.641294773362, 51.10948210971384, 42.34472508697235, 50.39373235062635, 47.80556308300606, 41.752630087256755, 43.56550778010707, 48.75556411750795, 40.915056721304566, 36.804335535820975, 52.43561633386013, 0.3865160109898228, 37.38235503638109, 32.651198872681995, 21.409412009280892, 39.3129486938082, 42.71725640263162, 32.66572781348134, 23.87278750135109, 9.809887104853525, 5.113705183435698, 12.753737241136902, 13.220654208230775, 15.085026051627171, 1.772926811168383]"
Baton_Rouge,"[34.31342536849256, 31.927658416384315, 27.909053581458487, 49.17563948699464, 47.05427131846817, 42.353109382393605, 46.5709860033565, 65.42792691438731, 61.04688884807222, 43.67322112402317, 49.603149233070546, 25.36749252131085, 25.664530308904038, 26.750391740046553, 28.65085851225843, 44.4159104651043, 27.331312925139184, 23.18092583867248, 32.181972495741626, 14.617864822845561, 14.88406774350338, 15.302537775074505, 11.930262675191633, 24.281066633933282, 5.729095316791833]"
