,0
Dates,2019-01-01
AK,84.23537779697449
AL,55.94499881043964
AR,45.41294901328529
AZ,70.02772919244735
CA,77.75760355395037
CO,65.26976205580273
CT,37.98730055000134
DC,84.94373978814122
DE,34.10151349169811
FL,77.53504378138156
GA,68.45163076852465
HI,181.03490535755355
IA,55.622017820693294
ID,64.01591965763086
IL,53.75077823319628
IN,54.41026614366965
KS,67.5445559842879
KY,46.28351820362442
LA,51.62756035718854
MA,52.021298700631895
MD,40.741040136698096
ME,53.222178369035
MI,56.68131475485809
MN,55.4947605339736
MO,46.85520787384634
MS,56.58652563539693
MT,70.43290547126003
NC,48.748054711888685
ND,84.96881175216224
NE,62.71901372662122
NH,52.93247280709073
NJ,39.75167163202436
NM,66.67420681279411
NV,73.96381964194535
NY,70.12838584946101
OH,47.1626051199206
OK,55.17307973544276
OR,71.69282140455076
PA,50.648455360917644
PR,52.73602003675909
RI,46.37711477550325
SC,52.2107989481054
SD,64.95741119682222
TN,54.10613391724252
TX,67.82063163222756
UT,72.52838544993477
VA,57.08350372092002
VI,78.07034824304641
VT,22.27653263154028
WA,71.95247012323668
WI,49.41666998248213
WV,45.54236287985195
WY,57.83059532423466
avg_USA,60.85782602741355
Northeast,45.94469241679036
Midwest,51.7419042962516
Central,64.22038334043981
South,58.53073074631938
West,92.7834845714522
Albuquerque,55.476335188038156
Anaheim,55.56173960890254
Anchorage,95.15734430414645
Arlington,55.59145774252833
Atlanta,92.92888860370121
Aurora,35.806066698817865
Austin,73.58977205623023
Bakersfield,37.66501787418571
Baltimore,41.221088165317774
Baton Rouge,70.61617329367256
Boise,47.34538482613037
Boston,74.60838940812326
Buffalo,34.038438189462944
Chandler,51.4138411635651
Charlotte,57.25791015124259
Chesapeake,38.1723378023835
Chicago,62.12444943969314
Chula Vista,54.73321998662974
Cincinnati,64.5558947953489
Cleveland,54.77920153853538
Colorado Springs,63.58058162021353
Columbus,59.863434794429644
Corpus Christi,53.75426030565974
Dallas,57.92906929256064
Denver,69.15559013690233
Detroit,49.49358881083818
Durham,49.893763166960795
El Paso,49.485848495421855
Fort Wayne,42.2722610693132
Fort Worth,57.53891665938735
Fremont,58.028133716542946
Fresno,31.79130492199501
Garland,30.3634422821066
Gilbert,60.44668397383892
Glendale,35.135891880478965
Greensboro,32.500327826415926
Henderson,63.84727050397603
Hialeah,62.86572759650113
Honolulu,166.57708596896325
Houston,48.755561542917
Indianapolis,62.467030562468594
Irvine,68.81757301077103
Irving,56.900664609835566
Jacksonville,45.445902740018816
Jersey City,65.07904297715187
Kansas City,59.92189323415601
Laredo,30.560025793736664
Las Vegas,77.10629476459403
Lexington,39.93749657994592
Lincoln,64.01155370908337
Long Beach,49.92189101929878
Los Angeles,102.55174748283268
Louisville,44.1914183368639
Lubbock,61.822486453891074
Madison,45.750846622890464
Memphis,44.117528819066784
Mesa,43.26153694637395
Miami,109.04735748449305
Milwaukee,42.1774920494899
Minneapolis,66.9861436769563
Nashville,68.92671852138436
New York City,83.75856953306894
New Orleans,52.22512936560812
Newark,55.597552344165095
Norfolk,60.711338846950255
North Las Vegas,32.08106056255796
Oakland,73.92997658456503
Oklahoma City,49.523157433796094
Omaha,63.21339848035597
Orlando,91.67326512562113
Philadelphia,48.30711610618386
Phoenix,58.16147035025973
Pittsburgh,51.54646543349077
Plano,85.73565741088181
Portland,71.55568590521294
Raleigh,43.50520161705184
Reno,60.16323977066966
Richmond,47.97422356814798
Riverside,42.24121209610587
Sacramento,57.334464500753526
San Antonio,44.73149677654306
San Diego,87.88447338018587
San Francisco,121.67272877325077
San Jose,62.622445179330406
Santa Ana,24.812822322209747
Scottsdale,87.68492334421593
Seattle,99.12779073262077
Spokane,51.12000145609904
St Louis,52.204888971951036
St Paul,46.880845110997726
St Petersburg,42.464052127232605
Stockton,39.92986470994603
Tampa,68.34040555634326
Toledo,31.313596103932685
Tucson,53.62138560980405
Tulsa,54.54724799721453
Virginia Beach,45.502682372816324
Washington,82.57308233311323
Wichita,37.083796212207275
Winston-Salem,34.487472701637046
