Dates,"[Timestamp('2019-11-04 00:00:00'), Timestamp('2019-11-11 00:00:00'), Timestamp('2019-11-18 00:00:00'), Timestamp('2019-11-25 00:00:00'), Timestamp('2019-12-02 00:00:00'), Timestamp('2019-12-09 00:00:00'), Timestamp('2019-12-16 00:00:00'), Timestamp('2019-12-23 00:00:00'), Timestamp('2019-12-30 00:00:00'), Timestamp('2020-01-06 00:00:00'), Timestamp('2020-01-13 00:00:00'), Timestamp('2020-01-20 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-17 00:00:00'), Timestamp('2020-02-24 00:00:00'), Timestamp('2020-03-02 00:00:00'), Timestamp('2020-03-09 00:00:00'), Timestamp('2020-03-16 00:00:00'), Timestamp('2020-03-23 00:00:00'), Timestamp('2020-03-30 00:00:00'), Timestamp('2020-04-06 00:00:00'), Timestamp('2020-04-13 00:00:00'), Timestamp('2020-04-20 00:00:00'), Timestamp('2020-04-27 00:00:00')]"
 AK,"[101.15087185972388, 123.69752821053949, 142.40614998483298, 117.1190799728543, 121.5335396385173, 115.27506710150034, 111.61423837347948, 101.15890817313137, 119.96865323887009, 118.56599138041572, 99.0592784125951, 0.3029326854773786, 69.17845690913116, 76.16699953530966, 60.365185545106876, 85.22404185845085, 86.22392792140599, 67.28068476282989, 44.66295898705267, 27.913162594650913, 18.81929926651721, 26.35543104280097, 31.11770388367641, 23.85955032358179, 5.542046238922538]"
AL,"[41.3461751501394, 45.335237030699204, 48.177500450953275, 57.743068017770575, 49.92628339296967, 53.74137768950953, 59.64329612045682, 57.92187836891628, 59.40233225062088, 43.474063912518126, 45.635846264154004, 1.2990769168484078, 42.67978000254524, 33.46062992420966, 29.66607557208, 44.32795167625137, 45.608115332162726, 45.653286592568605, 37.02452597954864, 24.75898836596838, 17.99186879226819, 22.819021993897795, 22.43940575493386, 22.943886977275014, 9.977810722727966]"
AR,"[50.03635235306719, 46.976959614765526, 49.12448693890731, 57.76175169358515, 48.94554653915254, 52.66821114568643, 55.33752276316375, 60.25978262109569, 59.78187328766246, 49.13187249713826, 45.92177459463312, 0.3773611365963333, 37.33403588080265, 36.75880638406037, 33.64914012078585, 49.65475039619232, 47.258879776282456, 41.71092263536581, 31.98237622907414, 24.53203903248343, 19.73419699056366, 23.1026656152888, 24.126842079186765, 25.895208963743496, 12.675892871896167]"
AZ,"[61.55162187987129, 62.534913832144575, 51.95902734677343, 66.72468099346592, 55.311419379519045, 65.16749260086934, 69.91572845263812, 67.73965618436195, 71.38614590055437, 55.55612183589089, 57.13969478022053, 10.853243841854832, 50.17845978965093, 41.50258122639679, 34.14841194496125, 57.208388607251884, 57.1548919590163, 59.738579472663915, 37.33821385357397, 28.466577990547147, 18.522661098288506, 20.713551782720554, 22.8375913583253, 24.547863682922106, 11.860641779285519]"
CA,"[77.50695444898506, 77.20394929798965, 71.27271527067674, 80.5546454619202, 75.2906606576589, 75.83002744194437, 83.2427106644712, 85.78430710106284, 84.76752899207797, 69.40506742749993, 72.67174378784371, 10.637235417928858, 61.2214060546844, 57.03488052677661, 39.55843552432519, 72.3370127151112, 67.15106592781065, 55.3240624719742, 41.80087794458986, 33.512404116344435, 27.540873917741084, 25.633900211646733, 29.90834696617492, 32.898649062801674, 15.910564893767221]"
CO,"[77.3177774003355, 71.2721976782277, 75.17789927073345, 76.8783197943331, 68.69279050355951, 79.23336969110349, 87.17715008256167, 89.59186635305157, 74.88687742572549, 73.11202000881464, 65.66735271874411, 0.7318646317271221, 57.418210788064755, 49.96672114366703, 34.245305902510346, 68.92448495810069, 64.38172144295746, 52.93224137547689, 38.344528242660395, 24.865903055882093, 20.14799986004433, 19.807833357901718, 23.32156413452647, 27.031394848720733, 17.787884882823285]"
CT,"[47.81640658608178, 46.256756092268155, 42.881166081412395, 41.10218381217452, 43.04118480483038, 41.08276036026103, 46.62912271650263, 43.995881222705336, 48.62810576860149, 47.493843885742024, 42.29406879442597, 2.9390927372463924, 37.195346446215616, 36.938455218748665, 25.88233665088491, 52.509962564126674, 46.88668411217071, 35.7429116747586, 27.96534990814225, 18.372118649842008, 12.577367965742429, 12.96733251114524, 13.451688372669315, 14.033207677736723, 4.879305775879186]"
DC,"[80.7169912167253, 75.13006998039117, 69.6344038941794, 95.43787565193097, 78.482394839056, 69.32909165280304, 91.89690778591628, 102.29498120548307, 96.30509461799696, 87.5620749710079, 59.15083662059347, 0.3321558679218797, 72.95878534813983, 55.700335878654606, 41.5277454964892, 86.1912399471719, 72.51974437259912, 57.77126971591381, 37.658243878791616, 21.792604357428946, 20.082716990765515, 16.75632380045232, 17.28309760322664, 19.634677539347578, 4.981865033868089]"
DE,"[39.53382224941021, 55.095122402772475, 42.86005744456494, 45.42600201408258, 39.606549549718736, 43.01354373000717, 52.38315663991791, 34.98840443649969, 46.51620573207772, 38.944207522669736, 36.35006701031258, 8.444759850891424, 37.13036302813649, 37.03862048047715, 25.133422555813922, 54.94478838590475, 49.59720401539553, 35.38109447030928, 26.81298323675449, 18.364345865921, 12.656568411259125, 8.67951075782932, 11.13668600327619, 13.897053945411141, 3.7139755458061914]"
FL,"[80.6641790292854, 77.9661099940613, 72.2512007964098, 82.73885496436333, 74.56178968519805, 79.45939369645376, 78.3871466419763, 79.84373268982853, 80.37358757658313, 68.42708066709802, 71.31297060515212, 2.396752046650088, 62.17297073283368, 57.85851211807336, 47.41858487677023, 74.89486810732791, 74.11866045899612, 66.28478069128843, 49.83696840049536, 38.144960722013955, 29.26636733699782, 27.70917328783576, 30.96765482196121, 34.42044124610277, 15.312494649879564]"
